2020-03-02 11:44:13 startup archives unpack
2020-03-02 11:44:13 install python3-openssl:all <none> 16.2.0-1
2020-03-02 11:44:13 status half-installed python3-openssl:all 16.2.0-1
2020-03-02 11:44:13 status unpacked python3-openssl:all 16.2.0-1
2020-03-02 11:44:13 status unpacked python3-openssl:all 16.2.0-1
2020-03-02 11:44:13 install python3-josepy:all <none> 1.1.0-2~deb9u1
2020-03-02 11:44:13 status half-installed python3-josepy:all 1.1.0-2~deb9u1
2020-03-02 11:44:13 status unpacked python3-josepy:all 1.1.0-2~deb9u1
2020-03-02 11:44:13 status unpacked python3-josepy:all 1.1.0-2~deb9u1
2020-03-02 11:44:13 install python3-pbr:all <none> 1.10.0-1
2020-03-02 11:44:13 status half-installed python3-pbr:all 1.10.0-1
2020-03-02 11:44:13 status unpacked python3-pbr:all 1.10.0-1
2020-03-02 11:44:13 status unpacked python3-pbr:all 1.10.0-1
2020-03-02 11:44:13 install python3-mock:all <none> 2.0.0-3
2020-03-02 11:44:13 status half-installed python3-mock:all 2.0.0-3
2020-03-02 11:44:13 status unpacked python3-mock:all 2.0.0-3
2020-03-02 11:44:13 status unpacked python3-mock:all 2.0.0-3
2020-03-02 11:44:13 install python3-requests-toolbelt:all <none> 0.7.0-1
2020-03-02 11:44:13 status half-installed python3-requests-toolbelt:all 0.7.0-1
2020-03-02 11:44:13 status unpacked python3-requests-toolbelt:all 0.7.0-1
2020-03-02 11:44:13 status unpacked python3-requests-toolbelt:all 0.7.0-1
2020-03-02 11:44:13 install python3-tz:all <none> 2016.7-0.3
2020-03-02 11:44:13 status half-installed python3-tz:all 2016.7-0.3
2020-03-02 11:44:13 status unpacked python3-tz:all 2016.7-0.3
2020-03-02 11:44:13 status unpacked python3-tz:all 2016.7-0.3
2020-03-02 11:44:13 install python3-rfc3339:all <none> 1.0-4
2020-03-02 11:44:13 status half-installed python3-rfc3339:all 1.0-4
2020-03-02 11:44:13 status unpacked python3-rfc3339:all 1.0-4
2020-03-02 11:44:13 status unpacked python3-rfc3339:all 1.0-4
2020-03-02 11:44:13 install python3-acme:all <none> 0.28.0-1~deb9u2
